ID;FORMA;DATA;QTD;CAT_OBJ;N_CAT;FORMA;REP_ACAO;FONTE;REFERENCIA;ENDERECO;LAT;LONG;CIDADE;BAIRRO
2;Passeata pede redução na tarifa de ônibus e passe livre em Curitiba;19/02/2009;150;Transporte, trânsito e circulação;19;"	passeata no centro cívico";Passeata;Gazeta do Povo;YANO, Célio. Passeata pede redução na tarifa de ônibus e passe livre em Curitiba. Gazeta do Povo. Curitiba. 19 fev. 2009. Disponível em: <http://www.gazetadopovo.com.br/vida-e-cidadania/passeata-pede-reducao-na-tarifa-de-onibus-e-passe-livre-em-curitiba-bfo0qhhiibluz74lyj0q9ch8u>. Acesso em: 29 jun. 2017.;Praça Santos Andrade, 2 cep: 80020-300;-25,428899;-49,266898;Curitiba;Centro
3;Família Yared fará passeata no domingo para pedir paz e justiça;20/05/2009;15000;Transporte, trânsito e circulação;19;;;Gazeta do Povo;YANO, Célio. Família Yared fará passeata no domingo para pedir paz e justiça. Gazeta do Povo. Curitiba, 20 maio 2009. Disponível em: <www.gazetadopovo.com.br/vidapublica/conteudo.phtml?id=888388&tit=Familia-Yared-fara-passeata-no-domingo-para-pedir-paz-e-justica>. Acesso em: 29 jun. 2009.;Rua Paulo Gorski, 900;-25,438944;-49,322074;Curitiba;Mossunguê
4;Frio e chuva espantam farofeiros do granito no bairro Batel, em Curitiba;05/05/2013;2;Acesso e uso do espaço público;1;"	Manifestação em praça pública";Manifestação em espaço público;G1 on line;JUSTI, Adriana. Frio e chuva espantam farofeiros do granito no bairro Batel, em Curitiba. G1. Curitiba. 05 maio 2013. Disponível em: <http://g1.globo.com/pr/parana/noticia/2013/05/frio-e-chuva-espantam-farofeiros-do-granito-no-bairro-batel-em-curitiba.html>. Acesso em: 29 jun. 2017.;Avenida Bispo Dom José, 2197;-25,444891;-49,293931;Curitiba;Batel
5;Frequentadores de bar fazem manifestação a favor da Quadra Cultural;28/02/2013;4;Acesso e uso do espaço público;1;Manifestação em frente ao bar;Manifestação em espaço público;Gazeta do Povo;WALTRICK, Rafael. Frequentadores de bar fazem manifestação a favor da Quadra Cultural. Gazeta do Povo. Curitiba. 28 fev. 2013. Disponível em: <http://www.gazetadopovo.com.br/vida-e-cidadania/frequentadores-de-bar-fazem-manifestacao-a-favor-da-quadra-cultural-67or4a75tqqw50sj0i64k042w>. Acesso em: 29 jun. 2017.;Rua Paula Gomes, 354;-25,424828;-49,273122;Curitiba;São Francisco
6;Manifestação contra o golpe de estado no centro de Curitiba;18/03/2016;1500;Estado, Governo e Democracia;6;Protesto na praça Santos Andrade;Manifestação em espaço público;G1 on line;Manifestantes fazem maiores atos à favor de Dilma desde o ano passado. Globo. -. 18 mar. 2016. Disponível em: <http://g1.globo.com/politica/noticia/2016/03/manifestantes-fazem-ato-em-apoio-ao-governo-dilma-pelo-pais.html>. Acesso em: 16 jun. 2017.;Praça Santos Andrade - Centro Curitiba - PR;-25,428804;-49,266659;Curitiba;Centro
7;Ciclistas protestam contra a falta de mecanismos para a mobilidade em Curitiba;29/10/2009;30;Transporte, trânsito e circulação;19;Protesto na calçada em frente a prefeitura, com malabarismo e chamada de atençao dos transeuntes;Outros;Gazeta do Povo;https://conta.gazetadopovo.com.br/cadastre-se/?referrer=http://www.gazetadopovo.com.br/vida-e-cidadania/ciclistas-protestam-contra-falta-de-mecanismos-para-mobilidade-na-capital-bys0pe5gk4h06k4a4rlood8b2;Av. Cândido de Abreu, 817, cep: 80530-908;-25,416931;-49,268650;Curitiba;Centro Cívico
8;Moradores da Rua Costa e Silva querem lombada;18/08/2014;;Transporte, trânsito e circulação;19;"Demanda levada à prefeitura e denúncia feita ao jornal ""O Popular""";Denúncia pública via meio de comunicação de massa;O Popular - Jornal de Araucária e Região;http://www.opopularpr.com.br/noticias/sem-categoria/moradores-da-rua-costa-e-silva-querem-lombada/;R. Pres. Costa e Silva, 639 - Costeira Araucária - PR 83709-272;-25,612768;-49,363761;Araucária;Costeira
9;Assassinato de taxista durante a madrugada gera protesto da categoria;20/02/2010;50;Segurança Pública;17;"	mais de 50 taxistas dirigiram pelas ruas da cidade";Carreatas ou manifestações sobre rodas;Gazeta do Povo;http://www.gazetadopovo.com.br/vida-e-cidadania/assassinato-de-taxista-durante-a-madrugada-gera-protesto-da-categoria-cid3snmqh1e6d5cv193ivsrwu;Rua Tamoios, 1250;-25,465787;-49,297712;Curitiba;Vila Izabel
10;Familiares de Lucas protestam por justiça;22/02/2014;60;Segurança Pública;17;"	Passeata";Passeata;O Popular - Jornal de Araucária e Região;http://www.opopularpr.com.br/noticias/sem-categoria/familiares-de-lucas-protestam-por-justica/;Avenida Presidente Kennedy, 4121;-25,477272;-49,291499;Curitiba;Portão
11;Família de rapaz morto em posto de combustível faz protesto pedindo justiça.;19/02/2014;100;Segurança Pública;17;"	Manifestação e concentração no local do crime.";Passeata;Banda B;"JUBANSKI, Elizangela; ROMANOWSKI, Roberto; HENRIQUE, Bruno. Família de rapaz morto em posto faz protesto pedindo justiça; polícia tem três linhas. Banda B. Curitiba. 20 fev. 2014. Disponível em: <http://www.bandab.com.br/jornalismo/familia-rapaz-morto-posto-protesto-pedindo-justica-policia-tres-linhas/>. Acesso em: 29 jun. 2017.";Rua Doutor Barreto Coutinho, 25;-25,378498;-49,227133;Curitiba;Santa Cândida
12;Protesto fecha Trincheira na Vila Torres;03/06/2014;;Segurança Pública;17;;;Gazeta do Povo;https://conta.gazetadopovo.com.br/cadastre-se/?referrer=http://www.gazetadopovo.com.br/vida-e-cidadania/protesto-fecha-trincheira-na-vila-torres-934lovw0etizzz828dj88lkjy;Rua Chile, 1 ;-25,444465;-49,249841;Curitiba;Rebouças
13;Moradores do Santa Cândida fazem protesto pedindo que rua seja asfaltada;24/08/2010;;Transporte, trânsito e circulação;19;"Denúncia feita ao jornal ""Banda B""";Denúncia pública via meio de comunicação de massa;Banda B;"http://www.bandab.com.br/jornalismo/moradores-do-santa-candida-fazem-protesto-pedindo-que-rua-seja-asfaltada/
";Rua Padre Paulo Canelles, 982;-25,356570;-49,239224;Curitiba;Santa Cândida
14;Família de advogado morto em confronto com a PM organiza protesto;01/02/2013;;Segurança Pública;17;"	Passeata";Passeata;Gazeta do Povo;PEREIRA, Patricia. Família de advogado morto em confronto com a PM organiza protesto. Gazeta do Povo. Curitiba. 31 jan. 2013. Disponível em: <http://www.gazetadopovo.com.br/vida-e-cidadania/familia-de-advogado-morto-em-confronto-com-a-pm-organiza-protesto-azuun3b6b2xu1rwnpuv7oy9ea>. Acesso em: 29 jun. 2017.;Boca Maldita;-25,432147;-49,275415;Curitiba;Centro
15;Suspensão da greve dos servidores de Araucária;30/03/2016;1000;Trabalho e Direitos Trabalhistas;18;;;Banda B;http://www.bandab.com.br/jornalismo/apos-oito-dias-de-paralisacao-servidores-de-araucaria-decidem-suspender-greve/;Rua Irmã Elizabeth Werka, 55;-25,575390;-49,400498;Araucária;Fazenda Velha
16;Asfalto arrebentado é motivo de protesto;30/11/2009;;Transporte, trânsito e circulação;19;Pneus e madeira queimados na rua;Fechamento de vias públicas;O Popular - Jornal de Araucária e Região;"http://www.opopularpr.com.br/noticias/sem-categoria/asfalto-arrebentado-e-motivo-de-protesto/
";R. Prímula, 2050;-25,627862;-49,367640;Araucária;Campina da Barra
17;População exige asfalto “decente” no Itaipu;11/06/2010;;Transporte, trânsito e circulação;19;Pneus queimados e cartazes;Fechamento de vias públicas;O Popular - Jornal de Araucária e Região;"http://www.opopularpr.com.br/noticias/sem-categoria/populacao-exige-asfalto-decente-no-itaipu/
";Rua das Cerejeiras, 169;-25,369703;-49,257620;Curitiba;Barreirinha
